curve,tenor,pay_freq,daycount,par_coupon_%
SOFR,24M,Annual,Act/Act AFB,4.023144022569396
SOFR,24M,Annual,30/360 Bond,4.023144022569396
SOFR,24M,Annual,30E/360,4.023144022569396
SOFR,24M,Annual,Act/Act ICMA,4.023144022569396
AAA,1M,Monthly,Act/360,3.8597089398362074
AAA,1M,Monthly,Act/365F,3.913316008445044
AAA,1M,Monthly,Act/Act ISDA,3.913316008445044
AAA,1M,Monthly,Act/Act AFB,3.913316008445044
AAA,1M,Monthly,30/360 Bond,3.8597089398362074
AAA,1M,Monthly,30E/360,3.8597089398362074
AAA,1M,Monthly,Act/Act ICMA,3.8597089398362074
AAA,3M,Monthly,Act/360,4.00225655079456
AAA,3M,Monthly,Act/365F,4.057843447333374
AAA,3M,Monthly,Act/Act ISDA,4.057843447333371
AAA,3M,Monthly,Act/Act AFB,4.057843447333374
AAA,3M,Monthly,30/360 Bond,4.091191597171433
AAA,3M,Monthly,30E/360,4.091191597171433
AAA,3M,Monthly,Act/Act ICMA,4.091191597171433
AAA,3M,Quarterly,Act/360,4.016219825475152
AAA,3M,Quarterly,Act/365F,4.072000656384529
AAA,3M,Quarterly,Act/Act ISDA,4.072000656384527
AAA,3M,Quarterly,Act/Act AFB,4.072000656384529
AAA,3M,Quarterly,30/360 Bond,4.105469154930155
AAA,3M,Quarterly,30E/360,4.105469154930155
AAA,3M,Quarterly,Act/Act ICMA,4.105469154930155
AAA,6M,Monthly,Act/360,4.107351739690961
AAA,6M,Monthly,Act/365F,4.164398291631113
AAA,6M,Monthly,Act/Act ISDA,4.164398291631112
AAA,6M,Monthly,Act/Act AFB,4.164398291631113
AAA,6M,Monthly,30/360 Bond,4.175925204288095
AAA,6M,Monthly,30E/360,4.175925204288095
AAA,6M,Monthly,Act/Act ICMA,4.175925204288095
AAA,6M,Quarterly,Act/360,4.121894223767836
AAA,6M,Quarterly,Act/365F,4.1791427546535
AAA,6M,Quarterly,Act/Act ISDA,4.1791427546535
AAA,6M,Quarterly,Act/Act AFB,4.1791427546535
AAA,6M,Quarterly,30/360 Bond,4.190714232114614
AAA,6M,Quarterly,30E/360,4.190714232114614
AAA,6M,Quarterly,Act/Act ICMA,4.190714232114614
AAA,6M,Semiann,Act/360,4.144050650255438
AAA,6M,Semiann,Act/365F,4.201606909286762
AAA,6M,Semiann,Act/Act ISDA,4.201606909286762
AAA,6M,Semiann,Act/Act AFB,4.201606909286762
AAA,6M,Semiann,30/360 Bond,4.213118161093029
AAA,6M,Semiann,30E/360,4.213118161093029
AAA,6M,Semiann,Act/Act ICMA,4.213118161093029
AAA,12M,Monthly,Act/360,4.112250200220158
AAA,12M,Monthly,Act/365F,4.169364786334326
AAA,12M,Monthly,Act/Act ISDA,4.169364786334326
AAA,12M,Monthly,Act/Act AFB,4.169364786334326
AAA,12M,Monthly,30/360 Bond,4.169548046695064
AAA,12M,Monthly,30E/360,4.169548046695064
AAA,12M,Monthly,Act/Act ICMA,4.169257362625358
AAA,12M,Quarterly,Act/360,4.126634118475718
AAA,12M,Quarterly,Act/365F,4.183948481232325
AAA,12M,Quarterly,Act/Act ISDA,4.183948481232325
AAA,12M,Quarterly,Act/Act AFB,4.183948481232325
AAA,12M,Quarterly,30/360 Bond,4.184011715449492
AAA,12M,Quarterly,30E/360,4.184011715449492
AAA,12M,Quarterly,Act/Act ICMA,4.184011715449492
AAA,12M,Semiann,Act/360,4.14840814056774
AAA,12M,Semiann,Act/365F,4.206024920297847
AAA,12M,Semiann,Act/Act ISDA,4.206024920297847
AAA,12M,Semiann,Act/Act AFB,4.206024920297847
AAA,12M,Semiann,30/360 Bond,4.206144630770107
AAA,12M,Semiann,30E/360,4.206144630770107
AAA,12M,Semiann,Act/Act ICMA,4.206144630770107
AAA,12M,Annual,Act/360,4.192075621143349
AAA,12M,Annual,Act/365F,4.250298893659229
AAA,12M,Annual,Act/Act ISDA,4.250298893659229
AAA,12M,Annual,Act/Act AFB,4.250298893659229
AAA,12M,Annual,30/360 Bond,4.250298893659229
AAA,12M,Annual,30E/360,4.250298893659229
AAA,12M,Annual,Act/Act ICMA,4.250298893659229
AAA,24M,Monthly,Act/360,4.237058730449476
AAA,24M,Monthly,Act/365F,4.295906768372385
AAA,24M,Monthly,Act/Act ISDA,4.298720514604549
AAA,24M,Monthly,Act/Act AFB,4.296373810646411
AAA,24M,Monthly,30/360 Bond,4.301802666610231
AAA,24M,Monthly,30E/360,4.301802666610231
AAA,24M,Monthly,Act/Act ICMA,4.301560777987688
AAA,24M,Quarterly,Act/360,4.252315532392734
AAA,24M,Quarterly,Act/365F,4.311375470342632
AAA,24M,Quarterly,Act/Act ISDA,4.3141991435700735
AAA,24M,Quarterly,Act/Act AFB,4.312802703278326
AAA,24M,Quarterly,30/360 Bond,4.317187106697346
AAA,24M,Quarterly,30E/360,4.317187106697346
AAA,24M,Quarterly,Act/Act ICMA,4.317187106697346
AAA,24M,Semiann,Act/360,4.275378376245274
AAA,24M,Semiann,Act/365F,4.334758631470901
AAA,24M,Semiann,Act/Act ISDA,4.3375973425772925
AAA,24M,Semiann,Act/Act AFB,4.337628730319316
AAA,24M,Semiann,30/360 Bond,4.340630224735292
AAA,24M,Semiann,30E/360,4.340630224735292
AAA,24M,Semiann,Act/Act ICMA,4.340630224735292
AAA,24M,Annual,Act/360,4.321813217188516
AAA,24M,Annual,Act/365F,4.381838400760578
AAA,24M,Annual,Act/Act ISDA,4.384739129780802
AAA,24M,Annual,Act/Act AFB,4.3877079347458485
AAA,24M,Annual,30/360 Bond,4.3877079347458485
AAA,24M,Annual,30E/360,4.3877079347458485
AAA,24M,Annual,Act/Act ICMA,4.3877079347458485
AA,1M,Monthly,Act/360,3.94656949523792
AA,1M,Monthly,Act/365F,4.001382960449558
AA,1M,Monthly,Act/Act ISDA,4.001382960449558
AA,1M,Monthly,Act/Act AFB,4.001382960449558
AA,1M,Monthly,30/360 Bond,3.94656949523792
AA,1M,Monthly,30E/360,3.94656949523792
AA,1M,Monthly,Act/Act ICMA,3.94656949523792
AA,3M,Monthly,Act/360,4.0891275041272355
AA,3M,Monthly,Act/365F,4.145920941684559
AA,3M,Monthly,Act/Act ISDA,4.145920941684557
AA,3M,Monthly,Act/Act AFB,4.145920941684559
AA,3M,Monthly,30/360 Bond,4.179992767905606
AA,3M,Monthly,30E/360,4.179992767905606
AA,3M,Monthly,Act/Act ICMA,4.179992767905606
AA,3M,Quarterly,Act/360,4.1036970679710985
AA,3M,Quarterly,Act/365F,4.160692860581808
AA,3M,Quarterly,Act/Act ISDA,4.160692860581807
AA,3M,Quarterly,Act/Act AFB,4.160692860581808
AA,3M,Quarterly,30/360 Bond,4.194890336148234
AA,3M,Quarterly,30E/360,4.194890336148234
AA,3M,Quarterly,Act/Act ICMA,4.194890336148234
AA,6M,Monthly,Act/360,4.194218644362771
AA,6M,Monthly,Act/365F,4.252471681090033
AA,6M,Monthly,Act/Act ISDA,4.2524716810900305
AA,6M,Monthly,Act/Act AFB,4.252471681090033
AA,6M,Monthly,30/360 Bond,4.26424483068151
AA,6M,Monthly,30E/360,4.26424483068151
AA,6M,Monthly,Act/Act ICMA,4.26424483068151
AA,6M,Quarterly,Act/360,4.209378075724936
AA,6M,Quarterly,Act/365F,4.267841660110004
AA,6M,Quarterly,Act/Act ISDA,4.267841660110004
AA,6M,Quarterly,Act/Act AFB,4.267841660110004
AA,6M,Quarterly,30/360 Bond,4.279661291672024
AA,6M,Quarterly,30E/360,4.279661291672024
AA,6M,Quarterly,Act/Act ICMA,4.279661291672024
