tenor,SOFR,AAA,AA,A,BBB,BB,B,CCC
1M,3.7180754072627678,3.936984309845161,4.027785556847601,4.082249986174502,4.2697560993556545,4.638296965193779,5.4098134578644,9.562589014834487
3M,3.8000516129039457,4.067967030726133,4.158709261632202,4.213138275195337,4.400522365831909,4.768822965970828,5.539834629554868,9.689850433898613
6M,3.9173388802027724,4.217071941830251,4.307742183988655,4.362128033001488,4.549363610200265,4.917372716105225,5.687775895213032,9.834556257637367
12M,4.05523511753062,4.27422125395773,4.364865296330442,4.419235407291235,4.606416671534997,4.974318434545926,5.744494367902641,9.889993499679465
24M,4.094884095477173,4.463226383326015,4.553855001078787,4.608215773082748,4.795364388360186,5.163199742865681,5.933227140836988,10.077713767238667
